created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Jul 19 04:48:15 +0000 2023;1.68152634046875E+018;@Berantakin_ @MantraMantaa @kelilypann @jogmfs Yojo. Maringene ngko ditakok i ngendi ktp ku  Kok iso ngomong sound langsung full gak onok gunane sedangkan ndek kono klitih gak pernah onok solusi sing jelas.  Moso Yojo 0 - 1 klitih rek, isin tah;0;0;0;0;in;8.52617601570165E+017;1.68118542884893E+018;sultohn;https://twitter.com/sultohn/status/1681526340468748289
Wed Jul 12 12:26:59 +0000 2023;1.67910507158874E+018;@bdlsmn @mercusuar198611 @OpiniRoni @Redstreet15 @ArfiChaniago @pannduu @detikcom Berarti niat tembak di tempat itu solusi kan.. Tembak ditempat juga tidak asal waton nembak random.. Minimal klitih itu keliatan bawa senjata.;0;0;0;1;in;1.52724085698549E+018;1.67902076696315E+018;klembak69menyan;https://twitter.com/klembak69menyan/status/1679105071588737025
Wed Jul 12 12:23:09 +0000 2023;1.67910410430251E+018;@mercusuar198611 @klembak69menyan @OpiniRoni @Redstreet15 @ArfiChaniago @pannduu @detikcom Udah jadi rahasia umum penyebab klitih masih ada kalo kalian tinggal di Jogja. Bukan ndak ada solusi, tapi ada ndak niatnya juga. Alasan politisnya karena kepentok hukum di bawah umur;0;2;0;0;in;558486144;1.67902076696315E+018;bdlsmn;https://twitter.com/bdlsmn/status/1679104104302510081
Wed Jul 12 11:51:59 +0000 2023;1.67909626323155E+018;@klembak69menyan @bdlsmn @OpiniRoni @Redstreet15 @ArfiChaniago @pannduu @detikcom Klitih sampai skrg blm ada solusi dari Pemda, cuma patroli polisi yg sering digalakkan;0;1;0;0;in;1.13314671024543E+018;1.67902076696315E+018;mercusuar198611;https://twitter.com/mercusuar198611/status/1679096263231545356
Sun Jul 09 14:02:41 +0000 2023;1.67804198906407E+018;@tubirfess Tapi bener kok komen dia. Begal sama klitih emang beda. Tapi ngebunuh bukan solusi. Coba pahami masalah struktural lokal di sana khususnya kemiskinan.;2;43;1;2;in;1.13160355426997E+018;1.67802374679023E+018;Alvans407;https://twitter.com/Alvans407/status/1678041989064065025
Thu Jun 29 11:51:49 +0000 2023;1.67438517812135E+018;@fitrooney Solusi menghadapi klitih;0;0;0;0;in;1637225964;1.67429759652818E+018;mipteh_198;https://twitter.com/mipteh_198/status/1674385178121351169
Mon Jun 26 15:11:40 +0000 2023;1.67334830557144E+018;@BuayaUbanan Eksekusi di tempat wae klitih e. Solusi tangan besi seperti dibutuhkan. Lah nek jagakke Hongbin ra beres-beres. Patroli we nek wis ono kejadian.;0;0;0;0;in;174890232;1.67321366222252E+018;WhoIshartadi;https://twitter.com/WhoIshartadi/status/1673348305571442689
Sat Jun 24 16:41:10 +0000 2023;1.67264605664617E+018;Masalah klitih dari jaman dulu sampe skrg gapernah selesai solusi dr pemerintah apa tiap hari jadi resah kalau mau plg lewat jam 8 aja uda kimis2 takut inilah itulah uda berapa bnyk yg dirugikan akibat klitih blm kl ada tawuran atau keributan2 lain yg merugikan bnyk org skitar;0;0;0;2;in;1735393206;1.67264605664617E+018;bithssi;https://twitter.com/bithssi/status/1672646056646168578
Tue Jun 13 04:22:07 +0000 2023;1.66847379900269E+018;@txtdrimedia Solusi di DO?, malah makin rusak laa, modelannya bakal kayak begal dan klitih nanti;0;0;0;0;in;1.54413394481943E+018;1.66842744873068E+018;iyaiyahahaa;https://twitter.com/iyaiyahahaa/status/1668473799002689537
Fri Jun 02 22:34:16 +0000 2023;1.66476238400168E+018;@merapi_uncover @Robertseptian2 Solusi?  Mau weekend? Gmw kena macet?  Brngkt lebih awal, cari tempat parkir, pulang agak malam nunggu jam selo (jam 10+ malam)   Resiko: Klitih, Begal dan kreativitas remaja di jalanan  Akhire? Yasudah derita elu resiko tanggung sendiri😂😂;1;0;1;3;in;1.21422924429058E+018;1.66461149881844E+018;Yoedhst_;https://twitter.com/Yoedhst_/status/1664762384001679361
